RuntimeLogger 2025-07-12 17:19:13,274 INFO (stateListener|23) [Env$5.runOneCycle():2861] begin to transfer FE type from INIT to MASTER
RuntimeLogger 2025-07-12 17:19:13,278 INFO (stateListener|23) [BDBHA.fencing():79] start fencing, epoch number is 1
RuntimeLogger 2025-07-12 17:19:13,285 INFO (stateListener|23) [Env.transferToMaster():1589] finish replay in 2 msec
RuntimeLogger 2025-07-12 17:19:13,313 INFO (stateListener|23) [Env.advanceNextId():1751] advance the next id from 10000 to 1752340753312
RuntimeLogger 2025-07-12 17:19:13,403 INFO (MASTER fe_4bb83929_c370_45e8_812d_0b537bdb87bf(1)|23) [Env.waitForReady():1137] wait catalog to be ready. feType:INIT isReady:false, counter:1 reason: 
RuntimeLogger 2025-07-12 17:19:13,438 INFO (stateListener|23) [Env.initLowerCaseTableNames():1971] Finish initializing lower_case_table_names, value is 0
RuntimeLogger 2025-07-12 17:19:16,004 INFO (stateListener|23) [PolicyMgr.createDefaultStoragePolicy():117] Create default storage success.
RuntimeLogger 2025-07-12 17:19:16,009 INFO (stateListener|23) [Env.transferToMaster():1689] logMasterInfo:MasterInfo: host=172.20.80.2 httpPort=8030 rpcPort=9020
RuntimeLogger 2025-07-12 17:19:16,010 INFO (stateListener|23) [PrivTable.addEntry():89] add priv entry: database privilege.ctl: internal, db: mysql, priv: Select_priv
RuntimeLogger 2025-07-12 17:19:16,010 INFO (stateListener|23) [PrivTable.addEntry():89] add priv entry: database privilege.ctl: internal, db: information_schema, priv: Select_priv
RuntimeLogger 2025-07-12 17:19:16,011 INFO (stateListener|23) [PrivTable.addEntry():89] add priv entry: origWorkloadGroup:normal, priv:Usage_priv
RuntimeLogger 2025-07-12 17:19:16,011 INFO (stateListener|23) [PrivTable.addEntry():89] add priv entry: Admin_priv
RuntimeLogger 2025-07-12 17:19:16,012 INFO (stateListener|23) [PrivTable.addEntry():89] add priv entry: database privilege.ctl: internal, db: mysql, priv: Select_priv
RuntimeLogger 2025-07-12 17:19:16,012 INFO (stateListener|23) [PrivTable.addEntry():89] add priv entry: database privilege.ctl: internal, db: information_schema, priv: Select_priv
RuntimeLogger 2025-07-12 17:19:16,012 INFO (stateListener|23) [PrivTable.addEntry():89] add priv entry: origWorkloadGroup:normal, priv:Usage_priv
RuntimeLogger 2025-07-12 17:19:16,013 INFO (stateListener|23) [PrivTable.addEntry():89] add priv entry: Node_priv,Admin_priv
RuntimeLogger 2025-07-12 17:19:16,014 INFO (stateListener|23) [InsertOverwriteManager.allTaskFail():239] try drop all temp partitions when transferToMaster
